"notation","title","description","id","title_en","description_en"
"1","Inhaltsbereich: Leben und Energie","","c9t",,
"1.1","Grundlegende Zusammenhänge bei Stoffwechselwegen","","y7p",,
"1.1.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","p3z",,
"1.1.1.1","Zusammenhang von aufbauendem und abbauendem Stoffwechsel, Stoffwechselregulation auf Enzymebene","","f6v",,
"1.1.1.2","Stofftransport zwischen Kompartimenten","","g6d",,
"1.1.1.3","Chemiosmotische ATP-Bildung","","f7q",,
"1.1.1.4","Redoxreaktionen, Energieumwandlung, Energieentwertung, ATP-/ADP-System","","r5t",,
"1.1.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","g3r",,
"1.2","Aufbauender Stoffwechsel","","c3d",,
"1.2.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","v2q",,
"1.2.1.1","Funktionale Angepasstheiten: Blattaufbau, Feinbau Chloroplast, Absorptionsspektrum von Chlorophyll, Wirkungsspektrum","","v4y",,
"1.2.1.2","Abhängigkeit der Fotosyntheserate von abiotischen Faktoren","","t5d",,
"1.2.1.3","Calvin-Zyklus: Fixierung, Reduktion, Regeneration","","g5a",,
"1.2.1.4","Zusammenhang von Primär- und Sekundärreaktionen","","g6e",,
"1.2.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","x6x",,
"1.2.2.1","Lichtsammelkomplex","","z4r",,
"1.2.2.2","Energetisches Modell der Lichtreaktionen","","g3u",,
"1.2.2.3","C4-Pflanzen","","b2y",,
"1.3","Abbauender Stoffwechse","","q4d",,
"1.3.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","g5y",,
"1.3.1.1","Feinbau Mitochondrium","","g4p",,
"1.3.1.2","Stoff- und Energiebilanz von Glykolyse, oxidative Decarboxylierung, Tricarbonsäurezyklus und Atmungskette","","f7y",,
"1.3.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","d2x",,
"1.3.2.1","Energetisches Modell der Atmungskette","","y9c",,
"1.3.2.2","Alkoholische Gärung und Milchsäuregärung","","t2y",,
"1.4","Fachliche Verfahren","","d5f",,
"1.4.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","e5r",,
"1.4.1.1","Chromatografie","","t3q",,
"1.4.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","r6p",,
"1.4.2.1","Tracer-Methode","","a2z",,
"2","Inhaltsbereich: Informationsverarbeitung in Lebewesen","","y3h",,
"2.1","Grundlagen der Informationsverarbeitung","","u7s",,
"2.1.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","g9y",,
"2.1.1.1","Bau und Funktionen von Nervenzellen: Ruhepotenzial, Aktionspotenzial, Erregungsleitung","","b5r",,
"2.1.1.2","Synapse: Funktion der erregenden chemischen Synapse, Stoffeinwirkung an Synapsen, neuromuskuläre Synapse","","q3t",,
"2.1.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","g3q",,
"2.1.2.1","Rezeptorpotenzial","","b2r",,
"2.1.2.2","Primäre und sekundäre Sinneszelle","","h5f",,
"2.1.2.3","Hormone: Hormonwirkung, Verschränkung hormoneller und neuronaler Steuerung","","z7z",,
"2.2","Neuronale Plastizität","","f5t",,
"2.2.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","f6d",,
"2.2.2.1","Verrechnung: Funktion einer hemmenden Synapse, räumliche und zeitliche Summation","","f5z",,
"2.2.2.2","Zelluläre Prozesse des Lernens","","f5g",,
"2.2.2.3","Störungen des neuronalen Systems","","h6a",,
"2.3","Fachliche Verfahren","","r9q",,
"2.3.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","x2v",,
"2.3.1.1","Potenzialmessungen","","c4s",,
"2.3.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","v7x",,
"2.3.2.1","Neurophysiologische Verfahren","","z3c",,
"3","Inhaltsbereich: Lebewesen in ihrer Umwelt","","b5u",,
"3.1","Strukturen und Zusammenhänge in Ökosystemen","","d9s",,
"3.1.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","z5d",,
"3.1.1.1","Biotop und Biozönose: biotische und abiotische Faktoren","","u7x",,
"3.1.1.2","Einfluss abiotischer Faktoren auf Organismen: Toleranzkurven, ökologische Potenz","","g9u",,
"3.1.1.3","Stoffkreislauf und Energiefluss in einem Ökosystem: Kohlenstoffkreislauf, Nahrungsnetz","","b2e",,
"3.1.1.4","Intra- und interspezifische Beziehungen: Konkurrenz, Parasitismus, Symbiose, Räuber-Beute-Beziehungen","","p7z",,
"3.1.1.5","Ökologische Nische","","q9r",,
"3.1.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","r3y",,
"3.1.2.1","Fortpflanzungsstrategien: R- und K-Strategien","","z6d",,
"3.1.2.2","Stickstoffkreislauf","","z5x",,
"3.1.2.3","Idealisierte Populationsentwicklung: exponentielles und logistisches Wachstum","","x3z",,
"3.2","Einfluss des Menschen auf Ökosysteme, Nachhaltigkeit, Biodiversität","","v7a",,
"3.2.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","s3b",,
"3.2.1.1","Folgen des anthropogen bedingten Treibhauseffekts","","q3d",,
"3.2.1.2","Ökosystemmanagement: Ursache-Wirkungszusammenhänge, Erhaltungs- und Renaturierungsmaßnahmen, nachhaltige Nutzung, Bedeutung und Erhalt der Biodiversität","","c5c",,
"3.2.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","c5d",,
"3.2.2.1","Hormonartig wirkende Substanzen in der Umwelt","","d4r",,
"3.2.2.2","Ökologischer Fußabdruck","","d2z",,
"3.3","Fachliche Verfahren","","x9b",,
"3.3.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","v4v",,
"3.3.1.1","Erfassung ökologischer Faktoren und qualitative Erfassung von Arten in einem Areal","","y7u",,
"3.3.2","Zusätzliche Inhalte für das erhöhte Anforderungsniveau","","a6h",,
"3.3.2.1","Quantitative Erfassung von Arten in einem Areal","","s3e",,
"4","Inhaltsbereich: Vielfalt des Lebens","","p2c",,
"4.1","Molekulargenetische Grundlagen des Lebens","","a6f",,
"4.1.1","Inhalte für das grundlegende und das erhöhte Anforderungsniveau","","p5u",,
"4.1.1.1","Speicherung und Realisierung genetischer Information: Bau der DNA, Transkription und Translation, semikonservative Replikation","","y9q",,
"4.1.1.2","Genmutationen","","v5e",,
