"notation","title","description","id","title_en","description_en"
"S ","Sachkompetenz","""""Die Sachkompetenz der Lernenden zeigt sich in der Kenntnis naturwissenschaftlicher Konzepte, Theorien und Verfahren und der Fähigkeit, diese zu beschreiben und zu erklären sowie geeignet auszuwählen und zu nutzen, um Sachverhalte aus fach- und alltagsbezogenen Anwendungsbereichen zu verarbeiten. \n\nLernende erhalten die Möglichkeit, im Bereich der Sachkompetenz fundiertes Wissen über biologische Sachverhalte wie beispielsweise Phänomene, Konzepte, Theorien und Verfahren zu erwerben und Kompetenzen im Sinne einer vertieften Allgemeinbildung aufzubauen. Diese Kompetenzen ermöglichen es ihnen, u. a. theoriegeleitet Fragen zu stellen sowie anspruchsvolle Problemstellungen im Zusammenhang mit biologischen Sachverhalten zu bewältigen bzw. Alltagsfragen zu naturwissenschaftlichen Sachverhalten zu beantworten. Im Rahmen der Erarbeitung von und der Auseinandersetzung mit biologiespezifischen Sachverhalten bekommen die Lernenden die Möglichkeit, fachliche und naturwissenschaftliche Kompetenzen aufzubauen.\n\nZur Sachkompetenz im Bereich der Biologie gehört das Beschreiben, Erklären, Erläutern sowie das theoriegeleitete Interpretieren von biologischen Phänomenen. Dabei werden Zusammenhänge strukturiert sowie qualitativ und quantitativ erläutert sowie Vernetzungen zwischen Systemebenen von der molekularen Ebene bis zur Ebene der Biosphäre aufgezeigt. Jede der Systemebenen beinhaltet häufig Eigenschaften, die in der vorherigen Ebene nicht erkennbar sind. Biodiversität wird auf der genetischen, organismischen und ökologischen Ebene beschrieben und die Notwendigkeit des Erhalts und Schutzes der Biodiversität wird mit der Bedeutung von Einheitlichkeit und Mannigfaltigkeit erläutert. Die Synthetische Evolutionstheorie wird als grundlegende Erklärungstheorie biologischer Phänomene genutzt. Möglichkeiten der Anwendung naturwissenschaftlichen Wissens zur Bewältigung aktueller und zukünftiger wissenschaftlicher, wirtschaftlicher und gesellschaftlicher Schlüsselprobleme werden erläutert; hier ergeben sich Überschneidungen zum Kompetenzbereich Bewertung.""""","z9z",,
"S 1","Biologische Sachverhalte betrachten","Die Lernenden …","h2g",,
"S 1.1","S1: beschreiben biologische Sachverhalte sowie Anwendungen der Biologie sachgerecht;","","f7u",,
"S 1.2","S2: strukturieren und erschließen biologische Phänomene sowie Anwendungen der Biologie auch mithilfe von Basiskonzepten;","","h4s",,
"S 1.3","S3: erläutern biologische Sachverhalte, auch indem sie Basiskonzepte nutzen und fachübergreifende Aspekte einbinden;","","q4e",,
"S 1.4","S4: formulieren zu biologischen Phänomenen sowie Anwendungen der Biologie theoriegeleitet Hypothesen und Aussagen.","","x7f",,
"S 2","Zusammenhänge in lebenden Systemen betrachten","Die Lernenden …","h5z",,
"S 2.1","S5: strukturieren und erschließen die Eigenschaften lebender Systeme auch mithilfe von Basiskonzepten und erläutern die Eigenschaften unter qualitativen und quantitativen Aspekten;","","d5a",,
"S 2.2","S6: stellen Vernetzungen zwischen Systemebenen (Molekular- bis Biosphärenebene) dar;","","a3b",,
"S 2.3","S7: erläutern Prozesse in und zwischen lebenden Systemen sowie zwischen lebenden Systemen und ihrer Umwelt;","","f9c",,
"S 2.4","S8: erläutern die Entstehung und Bedeutung von Biodiversität sowie Gründe für deren Schutz und nachhaltige Nutzung.","","x9b",,
"E ","Erkenntnisgewinnungskompetenz","""""Die Erkenntnisgewinnungskompetenz der Lernenden zeigt sich in der Kenntnis von naturwissenschaftlichen Denk- und Arbeitsweisen und in der Fähigkeit, diese zu beschreiben, zu erklären und zu verknüpfen, um Erkenntnisprozesse nachvollziehen oder gestalten zu können und deren Möglichkeiten und Grenzen zu reflektieren.\n\nSie zeichnen sich insbesondere dadurch aus, dass sie der hohen Komplexität biologischer Systeme Rechnung tragen sowie dem Umstand, dass es sich um lebende Systeme handelt. Dies wirft neben wissenschaftspropädeutischen auch ethische Fragen auf. Die Grenzen dieser Methoden in ihrer Anwendung auf Lebewesen sind evidenzbasiert zu erarbeiten, und zwar in wissenschaftspropädeutischer und ethischer Hinsicht. Dabei besteht naturgemäß eine Verzahnung zum Kompetenzbereich Bewertung.\n\n\n\nWissenschaftliches Arbeiten in der Biologie umfasst im Sinne des hypothetisch-deduktiven Vorgehens ausgehend von einem Phänomen die Verknüpfung der folgenden Schritte:\n\n - Formulierung von Fragestellungen,\n\n - Ableitung von Hypothesen,\n\n - Planung und Durchführung von Untersuchungen,\n\n - Auswertung, Interpretation und methodische Reflexion zur Widerlegung bzw. Stützung der Hypothese sowie zur Beantwortung der Fragestellung.\n\nDer Erkenntnisprozess ist in der Regel von Anfang an und durchgehend theoriebasiert, wobei auch explorative Erkenntnisprozesse wie das Entwickeln von Hypothesen zum wissenschaftlichen Vorgehen gehören.\n\nBiologiespezifisch ist die Unterscheidung von funktionalen und kausalen wie auch von proximaten und ultimaten Erklärungsweisen.\n\nJe nach Forschungsgegenstand und Fragestellung wird der hypothetisch-deduktive Erkenntnisprozess in verschiedenen biologischen Arbeitsweisen umgesetzt, nämlich dem Beobachten, Vergleichen/Ordnen, Experimentieren sowie Modellieren.""""","p3q",,
"E 1","Fragestellungen und Hypothesen auf Basis von Beobachtungen und Theorien entwickeln","Die Lernenden …","u7f",,
"E 1.1","E1: beschreiben Phänomene und Beobachtungen als Ausgangspunkte von Untersuchungen;","","x7q",,
"E 1.2","E2: identifizieren und entwickeln Fragestellungen zu biologischen Sachverhalten;","","d9g",,
"E 1.3","E3: stellen theoriegeleitet Hypothesen zur Bearbeitung von Fragestellungen auf.","","t7y",,
"E 2","Fachspezifische Modelle und Verfahren charakterisieren, auswählen und zur Untersuchung von Sachverhalten nutzen","Die Lernenden …","r3g",,
"E 2.1","E4: planen und führen hypothesengeleitete Beobachtungen, Vergleiche, Experimente und Modellierungen durch und protokollieren sie;","","u3b",,
"E 2.2","E5: berücksichtigen bei der Planung von Beobachtungen, Vergleichen, Experimenten sowie Modellierungen das jeweilige Variablengefüge;","","f3z",,
"E 2.3","E6: berücksichtigen die Variablenkontrolle beim Experimentieren;","","e5e",,
"E 2.4","E7: nehmen qualitative und quantitative Daten auch mithilfe digitaler Werkzeuge auf und werten sie aus;","","v9g",,
"E 2.5","E8: wenden Labor- und freilandbiologische Geräte und Techniken sachgerecht und unter Berücksichtigung der Sicherheitsbestimmungen an.","","t6d",,
"E 3","Erkenntnisprozesse und Ergebnisse interpretieren und reflektieren","Die Lernenden …","h3u",,
"E 3.1","E9: finden in erhobenen oder recherchierten Daten Strukturen, Beziehungen und Trends, erklären diese theoriebezogen und ziehen Schlussfolgerungen;","","s5r",,
"E 3.2","E10: beurteilen die Gültigkeit von Daten und ermitteln mögliche Fehlerquellen;","","b6a",,
"E 3.3","E11: widerlegen oder stützen die Hypothese (Hypothesenrückbezug);","","r5s",,
"E 3.4","E12: diskutieren Möglichkeiten und Grenzen von Modellen;","","a4a",,
"E 3.5","E13: reflektieren die eigenen Ergebnisse und den eigenen Prozess der Erkenntnisgewinnung;","","a3z",,
"E 3.6","E14: stellen bei der Interpretation von Untersuchungsbefunden fachübergreifende Bezüge her.","","s2u",,
"E 4","Merkmale wissenschaftlicher Aussagen und Methoden charakterisieren und reflektieren","Die Lernenden …","e3d",,
"E 4.1","E15: reflektieren Möglichkeiten und Grenzen des konkreten Erkenntnisgewinnungsprozesses sowie der gewonnenen Erkenntnisse (z. B. Reproduzierbarkeit, Falsifizierbarkeit, Intersubjektivität, logische Konsistenz, Vorläufigkeit);","","c3v",,
"E 4.2","E16: reflektieren die Kriterien wissenschaftlicher Wissensproduktion (Evidenzbasierung, Theorieorientierung);","","q6y",,
"E 4.3","E17: reflektieren Bedingungen und Eigenschaften biologischer Erkenntnisgewinnung.","","z4p",,
"K ","Kommunikationskompetenz","""""Die Kommunikationskompetenz der Lernenden zeigt sich in der Kenntnis von Fachsprache, fachtypischen Darstellungen und Argumentationsstrukturen und in der Fähigkeit, diese zu nutzen, um fachbezogene Informationen zu erschließen, adressaten- und situationsgerecht darzustellen und auszutauschen. Biologisch kompetent Kommunizieren bedingt ein Durchdringen der Teilkompetenzbereiche Erschließen, Aufbereiten und Austauschen.\n\nDas Erschließen umfasst die zielgerichtete und selbstständige Recherche zu biologischen Sachverhalten in analogen und digitalen Medien. Relevante, aussagekräftige Informationen und Daten werden ausgewählt und Informationen aus Quellen mittels verschiedener, auch komplexer Darstellungsformen erschlossen.\n\nZur Aufbereitung gehört die kriteriengeleitete Auswahl fach- und problembezogener Sachverhalte. Es folgen Strukturierung, Interpretation, Dokumentation auch mit Hilfe digitaler Werkzeuge in fachtypischen Darstellungsformen und die Ableitung von Schlussfolgerungen sowie die Angabe von Quellen. Dabei ist zwischen funktionalen und kausalen wie auch proximaten und ultimaten Erklärungen zu unterscheiden, ohne dabei unangemessene finale Begründungen zu nutzen.\n\nDer Austausch individuell verarbeiteter Informationen erfolgt jeweils unter Verwendung der Fachsprache sowie sach- und adressatengerecht. Der eigene Standpunkt sowie Lösungsvorschläge werden klar und begründet mitgeteilt.""""","v2r",,
"K 1","Informationen erschließen","Die Lernenden …","b5u",,
"K 1.1","K1: recherchieren zu biologischen Sachverhalten zielgerichtet in analogen und digitalen Medien und wählen für ihre Zwecke passende Quellen aus;","","c6u",,
"K 1.2","K2: wählen relevante und aussagekräftige Informationen und Daten zu biologischen Sachverhalten und anwendungsbezogenen Fragestellungen aus und erschließen Informationen aus Quellen mit verschiedenen, auch komplexen Darstellungsformen;","","h7y",,
"K 1.3","K3: prüfen die Übereinstimmung verschiedener Quellen oder Darstellungsformen im Hinblick auf deren Aussagen;","","v4a",,
"K 1.4","K4: analysieren Herkunft, Qualität und Vertrauenswürdigkeit von verwendeten Quellen und Medien sowie darin enthaltene Darstellungsformen im Zusammenhang mit der Intention der Autorin/des Autors.","","x5p",,
"K 2","Informationen aufbereiten","Die Lernenden …","t3p",,
"K 2.1","K5: strukturieren und interpretieren ausgewählte Informationen und leiten Schlussfolgerungen ab;","","a9f",,
"K 2.2","K6: unterscheiden zwischen Alltags- und Fachsprache;","","t9v",,
"K 2.3","K7: erklären Sachverhalte aus ultimater und proximater Sicht, ohne dabei unangemessene finale Begründungen zu nutzen;","","r3t",,
"K 2.4","K8: unterscheiden zwischen funktionalen und kausalen Erklärungen;","","d2h",,
"K 2.5","K9: nutzen geeignete Darstellungsformen für biologische Sachverhalte und überführen diese ineinander;","","c2x",,
"K 2.6","K10: verarbeiten sach-, adressaten- und situationsgerecht Informationen zu biologischen Sachverhalten.","","h6e",,
"K 3","Informationen austauschen und wissenschaftlich diskutieren","Die Lernenden …","y5x",,
"K 3.1","K11: präsentieren biologische Sachverhalte sowie Lern- und Arbeitsergebnisse sach-, adressaten- und situationsgerecht unter Einsatz geeigneter analoger und digitaler Medien;","","d3y",,
"K 3.2","K12: prüfen die Urheberschaft, belegen verwendete Quellen und kennzeichnen Zitate;","","x3c",,
"K 3.3","K13: tauschen sich mit anderen konstruktiv über biologische Sachverhalte aus, vertreten, reflektieren und korrigieren gegebenenfalls den eigenen Standpunkt;","","v9e",,
"K 3.4","K14: argumentieren wissenschaftlich zu biologischen Sachverhalten kriterien- und evidenzbasiert sowie situationsgerecht.","","f4b",,
"B ","Bewertungskompetenz","""""Die Bewertungskompetenz der Lernenden zeigt sich in der Kenntnis von fachlichen und überfachlichen Perspektiven und Bewertungsverfahren und in der Fähigkeit, diese zu nutzen, um Aussagen bzw. Daten anhand verschiedener Kriterien zu beurteilen, sich dazu begründet Meinungen zu bilden, Entscheidungen auch auf ethischer Grundlage zu treffen und Entscheidungsprozesse und deren Folgen zu reflektieren. Bewertungskompetenz umfasst dabei die Fähigkeit, bewertungsrelevante Situationen wahrzunehmen und relevante Sachinformationen und Argumente und deren Herkunft sowie damit verbundene Werte zu identifizieren. In einem Bewertungsprozess werden Handlungsoptionen ausgewertet, Entscheidungen in Bezug auf biologische Aspekte aufgrund von gesellschaftlich akzeptierten und persönlich relevanten Werten und Normen getroffen, begründet sowie reflektiert.""""","d6y",,
"B 1","Sachverhalte und Informationen multiperspektivisch beurteilen","","z4v",,
"B 1.1","B1: analysieren Sachverhalte im Hinblick auf ihre Bewertungsrelevanz;","","t5t",,
"B 1.2","B2: betrachten Sachverhalte aus unterschiedlichen Perspektiven;","","d9b",,
"B 1.3","B3: unterscheiden deskriptive und normative Aussagen;","","s3r",,
"B 1.4","B4: identifizieren Werte, die normativen Aussagen zugrunde liegen;","","r7r",,
"B 1.5","B5: beurteilen Quellen hinsichtlich ihrer Herkunft und in Bezug auf spezifische Interessenlagen;","","f4d",,
"B 1.6","B6: beurteilen Möglichkeiten und Grenzen biologischer Sichtweisen.","","t9y",,
"B 2","Kriteriengeleitet Meinungen bilden und Entscheidungen treffen","Die Lernenden …","t2h",,
